2017-05-20 22:08:31,527 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:08:31,531 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:08:31,533 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:08:50,233 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:08:50,234 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:08:50,236 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:08:50,237 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:09:00,318 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:09:00,319 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:09:00,320 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:09:00,321 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:12:34,640 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:12:34,641 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:12:34,642 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:12:34,643 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:13:05,071 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:05,072 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:13:05,074 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:05,074 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:13:17,232 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:17,233 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:13:17,235 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:17,236 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:13:18,310 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:18,310 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-20 22:13:18,312 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:18,313 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:13:36,840 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:36,841 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:13:36,844 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:13:36,845 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:15:13,215 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo:sportify:0.0.1-SNAPSHOT @ /home/ernesto/workspace/sportProject/sportify/sportify/pom.xml.
2017-05-20 22:15:14,816 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:15:14,818 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-20 22:15:14,821 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:15:14,822 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:15:14,822 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of sportify
2017-05-20 22:15:14,826 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for sportify
2017-05-20 22:15:14,834 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:15:15,384 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:15:15,385 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-20 22:15:15,395 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:15:15,395 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:15:23,451 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo:sportify:0.0.1-SNAPSHOT @ /home/ernesto/workspace/sportProject/sportify/sportify/pom.xml.
2017-05-20 22:15:24,229 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:15:24,232 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-20 22:15:24,234 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:15:24,235 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:15:24,235 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of sportify
2017-05-20 22:15:24,235 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for sportify
2017-05-20 22:15:24,240 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:16:50,141 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework.data:spring-data-jpa:jar:2.0.0.M2 is missing, no dependency information available
2017-05-20 22:16:50,377 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo:sportify:0.0.1-SNAPSHOT @ /home/ernesto/workspace/sportProject/sportify/sportify/pom.xml.
2017-05-20 22:16:50,505 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework.data:spring-data-jpa:jar:2.0.0.M2 is missing, no dependency information available
2017-05-20 22:16:50,703 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework.data:spring-data-jpa:jar:2.0.0.M2 is missing, no dependency information available
2017-05-20 22:16:51,229 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:16:51,231 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-20 22:16:51,235 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:16:51,235 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:16:51,236 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of sportify
2017-05-20 22:16:51,236 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for sportify
2017-05-20 22:16:51,242 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:16:52,459 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework.data:spring-data-jpa:jar:2.0.0.M2 is missing, no dependency information available
2017-05-20 22:16:52,469 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:16:52,470 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-20 22:16:52,472 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-20 22:16:52,472 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ernesto/workspace/sportProject/sportify/sportify/src/test/resources
2017-05-20 22:16:53,538 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-05-20 22:16:54,039 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo:sportify:0.0.1-SNAPSHOT @ /home/ernesto/workspace/sportProject/sportify/sportify/pom.xml.
2017-05-20 22:16:55,094 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-jpa/2.0.0.M2/spring-data-jpa-2.0.0.M2.pom
2017-05-20 22:16:55,096 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework.data:spring-data-jpa:jar:2.0.0.M2 is missing, no dependency information available
